Column,New York,Borough,income_num_returns(households),avg income per return(x1000s),income level,DBA,STREET,GRADE DATE
12802,10455,BRONX,18080,29.71559735,low income,DUNKIN',3 AVENUE,10/23/2019
13009,10455,BRONX,18080,29.71559735,low income,DUNKIN',EAST  149 STREET,8/12/2019
13296,11355,QUEENS,52130,29.43537311,low income,DUNKIN',KISSENA BOULEVARD,10/17/2019
13403,11355,QUEENS,52130,29.43537311,low income,DUNKIN',MAIN STREET,9/5/2019
13440,11355,QUEENS,52130,29.43537311,low income,DUNKIN',45 AVENUE,3/18/2019
13550,11355,QUEENS,52130,29.43537311,low income,DUNKIN',KISSENA BOULEVARD,1/9/2019
13822,11355,QUEENS,52130,29.43537311,low income,DUNKIN',KISSENA BOULEVARD,5/14/2019
13851,11355,QUEENS,52130,29.43537311,low income,DUNKIN',KISSENA BOULEVARD,6/10/2019
13887,11355,QUEENS,52130,29.43537311,low income,DUNKIN',COLLEGE POINT BLVD,6/25/2019
13967,10452,BRONX,36880,28.85789046,low income,DUNKIN',EAST  170 STREET,2/6/2020
14085,10452,BRONX,36880,28.85789046,low income,DUNKIN',EAST  170 STREET,9/3/2019
14431,10454,BRONX,15960,28.84592732,low income,DUNKIN',EAST  138 STREET,12/19/2019
14552,10454,BRONX,15960,28.84592732,low income,DUNKIN',BRUCKNER BOULEVARD,9/17/2019
14616,10454,BRONX,15960,28.84592732,low income,DUNKIN',EAST  138 STREET,8/6/2019
14666,10454,BRONX,15960,28.84592732,low income,DUNKIN',BRUCKNER BOULEVARD,5/28/2019
14923,10457,BRONX,33210,28.11957242,low income,DUNKIN',3 AVENUE,5/6/2019
14941,10457,BRONX,33210,28.11957242,low income,DUNKIN',WEBSTER AVENUE,5/8/2019
